Quarter,Time,Team,Description,MICH,WIS
1,4:17,MICH,Cornelius Johnson 34 yard pass from Cade McNamara (Jake Moody kick),7,0
2,13:17,MICH,Jake Moody 26 yard field goal,10,0
,2:32,WIS,Collin Larsh 34 yard field goal,10,3
,0:27,MICH,Jake Moody 47 yard field goal,13,3
,0:07,WIS,Chimere Dike 18 yard pass from Graham Mertz (Collin Larsh kick),13,10
3,8:26,MICH,J.J. McCarthy 1 yard run (Jake Moody kick),20,10
4,12:21,MICH,Jake Moody 48 yard field goal,23,10
,9:34,MICH,Cornelius Johnson 13 yard pass from Cade McNamara (Cornelius Johnson 2-point pass),31,10
,5:07,MICH,Daylen Baldwin 56 yard pass from J.J. McCarthy (Jake Moody kick),38,10
,0:32,WIS,Clay Cundiff 25 yard pass from Chase Wolf (Collin Larsh kick),38,17